Review,Aspect,Sentiment,Review_Clean,BERT_Input
"Di sisi lain, sambung dia, Pemerintah Provinsi (Pemprov) DKI Jakarta juga harus jelas memetakan jalur akademik para penerima LPDP, sehingga ketika mereka sudah lulus, dapat berpartisipasi membangun Jakarta melalui sektor yang tepat.",kualitas pendidikan,Netral,di sisi lain sambung dia pemerintah provinsi pemprov dki jakarta juga harus jelas memetakan jalur akademik para penerima lpdp sehingga ketika mereka sudah lulus dapat berpartisipasi membangun jakarta melalui sektor yang tepat,[CLS] kualitas pendidikan [SEP] di sisi lain sambung dia pemerintah provinsi pemprov dki jakarta juga harus jelas memetakan jalur akademik para penerima lpdp sehingga ketika mereka sudah lulus dapat berpartisipasi membangun jakarta melalui sektor yang tepat [SEP]
"Tiga hari yang lalu, saya didampingi Bu Nana (Kepala Dinas Pendidikan DKI Jakarta Nahdiana) menerima direktur atau yang paling tinggi di LPDP, Pak Dwi Larso.",kualitas pendidikan,Netral,tiga hari yang lalu saya didampingi bu nana kepala dinas pendidikan dki jakarta nahdiana menerima direktur atau yang paling tinggi di lpdp pak dwi larso,[CLS] kualitas pendidikan [SEP] tiga hari yang lalu saya didampingi bu nana kepala dinas pendidikan dki jakarta nahdiana menerima direktur atau yang paling tinggi di lpdp pak dwi larso [SEP]
"Menurut dia, saat ini sejumlah bansos pendidikan sudah diberikan kepada pelajar dan mahasiswa di Jakarta melalui program Kartu Jakarta Pintar (KJP plus) dan juga Kartu Jakarta Mahasiswa Unggul (KJMU).",kualitas pendidikan,Netral,menurut dia saat ini sejumlah bansos pendidikan sudah diberikan kepada pelajar dan mahasiswa di jakarta melalui program kartu jakarta pintar kjp plus dan juga kartu jakarta mahasiswa unggul kjmu,[CLS] kualitas pendidikan [SEP] menurut dia saat ini sejumlah bansos pendidikan sudah diberikan kepada pelajar dan mahasiswa di jakarta melalui program kartu jakarta pintar kjp plus dan juga kartu jakarta mahasiswa unggul kjmu [SEP]
"Ada juga bansos terkait pendidikan, yaitu KJP plus dan KJMU yang harus terus diberikan kepada para pelajar serta mahasiswa yang berhak untuk menerima manfaatnya.",kualitas pendidikan,Netral,ada juga bansos terkait pendidikan yaitu kjp plus dan kjmu yang harus terus diberikan kepada para pelajar serta mahasiswa yang berhak untuk menerima manfaatnya,[CLS] kualitas pendidikan [SEP] ada juga bansos terkait pendidikan yaitu kjp plus dan kjmu yang harus terus diberikan kepada para pelajar serta mahasiswa yang berhak untuk menerima manfaatnya [SEP]
"Justin menambahkan bahwa pihaknya mendukung adanya program LPDP Jakarta, asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik.",dana beasiswa,Positif,justin menambahkan bahwa pihaknya mendukung adanya program lpdp jakarta asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik,[CLS] dana beasiswa [SEP] justin menambahkan bahwa pihaknya mendukung adanya program lpdp jakarta asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik [SEP]
"Justin menambahkan bahwa pihaknya mendukung adanya program LPDP Jakarta, asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik.",kualitas pendidikan,Positif,justin menambahkan bahwa pihaknya mendukung adanya program lpdp jakarta asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik,[CLS] kualitas pendidikan [SEP] justin menambahkan bahwa pihaknya mendukung adanya program lpdp jakarta asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik [SEP]
"Tiga hari yang lalu saya didampingi Bu Nana (Kepala Dinas Pendidikan Provinsi DKI Jakarta, Nahdiana) menerima direktur atau yang paling tinggi di LPDP, Pak Dwi Larso.",kualitas pendidikan,Netral,tiga hari yang lalu saya didampingi bu nana kepala dinas pendidikan provinsi dki jakarta nahdiana menerima direktur atau yang paling tinggi di lpdp pak dwi larso,[CLS] kualitas pendidikan [SEP] tiga hari yang lalu saya didampingi bu nana kepala dinas pendidikan provinsi dki jakarta nahdiana menerima direktur atau yang paling tinggi di lpdp pak dwi larso [SEP]
Dana beasiswa LPDP bersumber dari Anggaran Pendapatan dan Belanja Negara atau APBN.,dana beasiswa,Netral,dana beasiswa lpdp bersumber dari anggaran pendapatan dan belanja negara atau apbn,[CLS] dana beasiswa [SEP] dana beasiswa lpdp bersumber dari anggaran pendapatan dan belanja negara atau apbn [SEP]
Sementara pajak adalah komponen terbesar dalam penerimaan negara.,dana beasiswa,Netral,sementara pajak adalah komponen terbesar dalam penerimaan negara,[CLS] dana beasiswa [SEP] sementara pajak adalah komponen terbesar dalam penerimaan negara [SEP]
"Artinya, pajak masyarakat menjadi fondasi pembentukan dana abadi LPDP.",dana beasiswa,Netral,artinya pajak masyarakat menjadi fondasi pembentukan dana abadi lpdp,[CLS] dana beasiswa [SEP] artinya pajak masyarakat menjadi fondasi pembentukan dana abadi lpdp [SEP]
"Pemerintah ingin memastikan setiap rupiah yang dikeluarkan oleh negara, benar-benar kembali dalam bentuk karya dan pengabdian.",pengabdian alumni,Netral,pemerintah ingin memastikan setiap rupiah yang dikeluarkan oleh negara benar benar kembali dalam bentuk karya dan pengabdian,[CLS] pengabdian alumni [SEP] pemerintah ingin memastikan setiap rupiah yang dikeluarkan oleh negara benar benar kembali dalam bentuk karya dan pengabdian [SEP]
Sudarto mengatakan LPDP berusaha memberikan kesempatan yang sama kepada talenta Indonesia untuk bisa mengakses pendidikan tinggi.,kualitas pendidikan,Netral,sudarto mengatakan lpdp berusaha memberikan kesempatan yang sama kepada talenta indonesia untuk bisa mengakses pendidikan tinggi,[CLS] kualitas pendidikan [SEP] sudarto mengatakan lpdp berusaha memberikan kesempatan yang sama kepada talenta indonesia untuk bisa mengakses pendidikan tinggi [SEP]
"Untuk 2026, beasiswa afirmasi mencakup lebih dari 25 persen porsi total penerima dana pendidikan.",kualitas pendidikan,Netral,untuk 2026 beasiswa afirmasi mencakup lebih dari 25 persen porsi total penerima dana pendidikan,[CLS] kualitas pendidikan [SEP] untuk 2026 beasiswa afirmasi mencakup lebih dari 25 persen porsi total penerima dana pendidikan [SEP]
"Sebagai catatan, per 31 Januari 2026, delapan orang penerima beasiswa LPDP dijatuhi sanksi pengembalian dana.",kebijakan LPDP,Negatif,sebagai catatan per 31 januari 2026 delapan orang penerima beasiswa lpdp dijatuhi sanksi pengembalian dana,[CLS] kebijakan LPDP [SEP] sebagai catatan per 31 januari 2026 delapan orang penerima beasiswa lpdp dijatuhi sanksi pengembalian dana [SEP]
Sudarto menjelaskan nominal pengembalian dana pendidikan bergantung pada jenjang studi yang ditempuh.,kualitas pendidikan,Netral,sudarto menjelaskan nominal pengembalian dana pendidikan bergantung pada jenjang studi yang ditempuh,[CLS] kualitas pendidikan [SEP] sudarto menjelaskan nominal pengembalian dana pendidikan bergantung pada jenjang studi yang ditempuh [SEP]
LPDP mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian.,pengabdian alumni,Positif,lpdp mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian,[CLS] pengabdian alumni [SEP] lpdp mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian [SEP]
LPDP mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian.,kebijakan LPDP,Positif,lpdp mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian,[CLS] kebijakan LPDP [SEP] lpdp mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian [SEP]
