Review,Aspect,Sentiment,Review_Clean
"Di sisi lain, sambung dia, Pemerintah Provinsi (Pemprov) DKI Jakarta juga harus jelas memetakan jalur akademik para penerima LPDP, sehingga ketika mereka sudah lulus, dapat berpartisipasi membangun Jakarta melalui sektor yang tepat.",kualitas pendidikan,Netral,di sisi lain sambung dia pemerintah provinsi pemprov dki jakarta juga harus jelas memetakan jalur akademik para penerima lpdp sehingga ketika mereka sudah lulus dapat berpartisipasi membangun jakarta melalui sektor yang tepat
"Tiga hari yang lalu, saya didampingi Bu Nana (Kepala Dinas Pendidikan DKI Jakarta Nahdiana) menerima direktur atau yang paling tinggi di LPDP, Pak Dwi Larso.",kualitas pendidikan,Netral,tiga hari yang lalu saya didampingi bu nana kepala dinas pendidikan dki jakarta nahdiana menerima direktur atau yang paling tinggi di lpdp pak dwi larso
"Menurut dia, saat ini sejumlah bansos pendidikan sudah diberikan kepada pelajar dan mahasiswa di Jakarta melalui program Kartu Jakarta Pintar (KJP plus) dan juga Kartu Jakarta Mahasiswa Unggul (KJMU).",kualitas pendidikan,Netral,menurut dia saat ini sejumlah bansos pendidikan sudah diberikan kepada pelajar dan mahasiswa di jakarta melalui program kartu jakarta pintar kjp plus dan juga kartu jakarta mahasiswa unggul kjmu
"Ada juga bansos terkait pendidikan, yaitu KJP plus dan KJMU yang harus terus diberikan kepada para pelajar serta mahasiswa yang berhak untuk menerima manfaatnya.",kualitas pendidikan,Netral,ada juga bansos terkait pendidikan yaitu kjp plus dan kjmu yang harus terus diberikan kepada para pelajar serta mahasiswa yang berhak untuk menerima manfaatnya
"Justin menambahkan bahwa pihaknya mendukung adanya program LPDP Jakarta, asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik.",dana beasiswa,Positif,justin menambahkan bahwa pihaknya mendukung adanya program lpdp jakarta asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik
"Justin menambahkan bahwa pihaknya mendukung adanya program LPDP Jakarta, asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik.",kualitas pendidikan,Positif,justin menambahkan bahwa pihaknya mendukung adanya program lpdp jakarta asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik
"Tiga hari yang lalu saya didampingi Bu Nana (Kepala Dinas Pendidikan Provinsi DKI Jakarta, Nahdiana) menerima direktur atau yang paling tinggi di LPDP, Pak Dwi Larso.",kualitas pendidikan,Netral,tiga hari yang lalu saya didampingi bu nana kepala dinas pendidikan provinsi dki jakarta nahdiana menerima direktur atau yang paling tinggi di lpdp pak dwi larso
Dana beasiswa LPDP bersumber dari Anggaran Pendapatan dan Belanja Negara atau APBN.,dana beasiswa,Netral,dana beasiswa lpdp bersumber dari anggaran pendapatan dan belanja negara atau apbn
Sementara pajak adalah komponen terbesar dalam penerimaan negara.,dana beasiswa,Netral,sementara pajak adalah komponen terbesar dalam penerimaan negara
"Artinya, pajak masyarakat menjadi fondasi pembentukan dana abadi LPDP.",dana beasiswa,Netral,artinya pajak masyarakat menjadi fondasi pembentukan dana abadi lpdp
"Pemerintah ingin memastikan setiap rupiah yang dikeluarkan oleh negara, benar-benar kembali dalam bentuk karya dan pengabdian.",pengabdian alumni,Netral,pemerintah ingin memastikan setiap rupiah yang dikeluarkan oleh negara benar benar kembali dalam bentuk karya dan pengabdian
Sudarto mengatakan LPDP berusaha memberikan kesempatan yang sama kepada talenta Indonesia untuk bisa mengakses pendidikan tinggi.,kualitas pendidikan,Netral,sudarto mengatakan lpdp berusaha memberikan kesempatan yang sama kepada talenta indonesia untuk bisa mengakses pendidikan tinggi
"Untuk 2026, beasiswa afirmasi mencakup lebih dari 25 persen porsi total penerima dana pendidikan.",kualitas pendidikan,Netral,untuk 2026 beasiswa afirmasi mencakup lebih dari 25 persen porsi total penerima dana pendidikan
"Sebagai catatan, per 31 Januari 2026, delapan orang penerima beasiswa LPDP dijatuhi sanksi pengembalian dana.",kebijakan LPDP,Negatif,sebagai catatan per 31 januari 2026 delapan orang penerima beasiswa lpdp dijatuhi sanksi pengembalian dana
Sudarto menjelaskan nominal pengembalian dana pendidikan bergantung pada jenjang studi yang ditempuh.,kualitas pendidikan,Netral,sudarto menjelaskan nominal pengembalian dana pendidikan bergantung pada jenjang studi yang ditempuh
LPDP mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian.,pengabdian alumni,Positif,lpdp mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian
LPDP mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian.,kebijakan LPDP,Positif,lpdp mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian
"Hingga 2025, masa pengabdian yang ditetapkan adalah dua kali masa studi ditambah satu tahun atau 2N+1.",pengabdian alumni,Netral,hingga 2025 masa pengabdian yang ditetapkan adalah dua kali masa studi ditambah satu tahun atau 2n 1
"Namun, LPDP mengubah kebijakan masa pengabdian menjadi 2N per tahun ini.",pengabdian alumni,Netral,namun lpdp mengubah kebijakan masa pengabdian menjadi 2n per tahun ini
"Namun, LPDP mengubah kebijakan masa pengabdian menjadi 2N per tahun ini.",kebijakan LPDP,Netral,namun lpdp mengubah kebijakan masa pengabdian menjadi 2n per tahun ini
Kewajiban masa pengabdian tertuang dalam peraturan dan Pedoman Penerima Beasiswa yang menjadi bagian dari kontrak yang disepakati.,pengabdian alumni,Netral,kewajiban masa pengabdian tertuang dalam peraturan dan pedoman penerima beasiswa yang menjadi bagian dari kontrak yang disepakati
Kewajiban masa pengabdian tertuang dalam peraturan dan Pedoman Penerima Beasiswa yang menjadi bagian dari kontrak yang disepakati.,kebijakan LPDP,Netral,kewajiban masa pengabdian tertuang dalam peraturan dan pedoman penerima beasiswa yang menjadi bagian dari kontrak yang disepakati
"Bagi penerima beasiswa yang melanggar, sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program LPDP di masa mendatang.",kebijakan LPDP,Negatif,bagi penerima beasiswa yang melanggar sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program lpdp di masa mendatang
"Bagi penerima beasiswa yang melanggar, sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program LPDP di masa mendatang.",kualitas pendidikan,Negatif,bagi penerima beasiswa yang melanggar sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program lpdp di masa mendatang
"Selain delapan orang yang telah dijatuhi sanksi pengembalian dana, LPDP juga memeriksa 36 orang yang diduga melakukan pelanggaran.",dana beasiswa,Negatif,selain delapan orang yang telah dijatuhi sanksi pengembalian dana lpdp juga memeriksa 36 orang yang diduga melakukan pelanggaran
"Selain delapan orang yang telah dijatuhi sanksi pengembalian dana, LPDP juga memeriksa 36 orang yang diduga melakukan pelanggaran.",kebijakan LPDP,Negatif,selain delapan orang yang telah dijatuhi sanksi pengembalian dana lpdp juga memeriksa 36 orang yang diduga melakukan pelanggaran
"Meski begitu, LPDP juga memberikan ruang fleksibilitas bagi alumni dengan kondisi tertentu, misalnya yang bekerja di posisi strategis lembaga riset global.",kualitas pendidikan,Netral,meski begitu lpdp juga memberikan ruang fleksibilitas bagi alumni dengan kondisi tertentu misalnya yang bekerja di posisi strategis lembaga riset global
"Namun, fleksibilitas itu juga dibarengi dengan komitmen untuk tetap berkontribusi kepada Indonesia.",pengabdian alumni,Positif,namun fleksibilitas itu juga dibarengi dengan komitmen untuk tetap berkontribusi kepada indonesia
"Namun, kalau tidak ada komitmen (untuk berkontribusi di Indonesia), langsung kami sanksi,” jelas dia.",pengabdian alumni,Netral,namun kalau tidak ada komitmen untuk berkontribusi di indonesia langsung kami sanksi jelas dia
"Namun, kalau tidak ada komitmen (untuk berkontribusi di Indonesia), langsung kami sanksi,” jelas dia.",kebijakan LPDP,Netral,namun kalau tidak ada komitmen untuk berkontribusi di indonesia langsung kami sanksi jelas dia
LPDP pun menyiapkan skema magang atau wirausaha bagi alumni dengan periode hingga dua tahun setelah lulus dengan persetujuan LPDP dan memenuhi syarat yang ditetapkan.,proses seleksi,Netral,lpdp pun menyiapkan skema magang atau wirausaha bagi alumni dengan periode hingga dua tahun setelah lulus dengan persetujuan lpdp dan memenuhi syarat yang ditetapkan
"Kebetulan, suami DS, yakni AP sama-sama penerima LPDP belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima.",pengabdian alumni,Negatif,kebetulan suami ds yakni ap sama sama penerima lpdp belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima
