Review,Aspect,Sentiment
"Di sisi lain, sambung dia, Pemerintah Provinsi (Pemprov) DKI Jakarta juga harus jelas memetakan jalur akademik para penerima LPDP, sehingga ketika mereka sudah lulus, dapat berpartisipasi membangun Jakarta melalui sektor yang tepat.",kualitas pendidikan,Netral
"Tiga hari yang lalu, saya didampingi Bu Nana (Kepala Dinas Pendidikan DKI Jakarta Nahdiana) menerima direktur atau yang paling tinggi di LPDP, Pak Dwi Larso.",kualitas pendidikan,Netral
"Menurut dia, saat ini sejumlah bansos pendidikan sudah diberikan kepada pelajar dan mahasiswa di Jakarta melalui program Kartu Jakarta Pintar (KJP plus) dan juga Kartu Jakarta Mahasiswa Unggul (KJMU).",kualitas pendidikan,Netral
"Ada juga bansos terkait pendidikan, yaitu KJP plus dan KJMU yang harus terus diberikan kepada para pelajar serta mahasiswa yang berhak untuk menerima manfaatnya.",kualitas pendidikan,Netral
"Justin menambahkan bahwa pihaknya mendukung adanya program LPDP Jakarta, asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik.",dana beasiswa,Positif
"Justin menambahkan bahwa pihaknya mendukung adanya program LPDP Jakarta, asalkan tidak memotong dana atau anggaran bansos pendidikan yang sudah berjalan baik.",kualitas pendidikan,Positif
"Tiga hari yang lalu saya didampingi Bu Nana (Kepala Dinas Pendidikan Provinsi DKI Jakarta, Nahdiana) menerima direktur atau yang paling tinggi di LPDP, Pak Dwi Larso.",kualitas pendidikan,Netral
Dana beasiswa LPDP bersumber dari Anggaran Pendapatan dan Belanja Negara atau APBN.,dana beasiswa,Netral
Sementara pajak adalah komponen terbesar dalam penerimaan negara.,dana beasiswa,Netral
"Artinya, pajak masyarakat menjadi fondasi pembentukan dana abadi LPDP.",dana beasiswa,Netral
"Pemerintah ingin memastikan setiap rupiah yang dikeluarkan oleh negara, benar-benar kembali dalam bentuk karya dan pengabdian.",pengabdian alumni,Netral
Sudarto mengatakan LPDP berusaha memberikan kesempatan yang sama kepada talenta Indonesia untuk bisa mengakses pendidikan tinggi.,kualitas pendidikan,Netral
"Untuk 2026, beasiswa afirmasi mencakup lebih dari 25 persen porsi total penerima dana pendidikan.",kualitas pendidikan,Netral
"Sebagai catatan, per 31 Januari 2026, delapan orang penerima beasiswa LPDP dijatuhi sanksi pengembalian dana.",kebijakan LPDP,Negatif
Sudarto menjelaskan nominal pengembalian dana pendidikan bergantung pada jenjang studi yang ditempuh.,kualitas pendidikan,Netral
LPDP mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian.,pengabdian alumni,Positif
LPDP mewajibkan penerima beasiswa untuk kembali dan berkontribusi di dalam negeri sesuai ketentuan masa pengabdian.,kebijakan LPDP,Positif
"Hingga 2025, masa pengabdian yang ditetapkan adalah dua kali masa studi ditambah satu tahun atau 2N+1.",pengabdian alumni,Netral
"Namun, LPDP mengubah kebijakan masa pengabdian menjadi 2N per tahun ini.",pengabdian alumni,Netral
"Namun, LPDP mengubah kebijakan masa pengabdian menjadi 2N per tahun ini.",kebijakan LPDP,Netral
Kewajiban masa pengabdian tertuang dalam peraturan dan Pedoman Penerima Beasiswa yang menjadi bagian dari kontrak yang disepakati.,pengabdian alumni,Netral
Kewajiban masa pengabdian tertuang dalam peraturan dan Pedoman Penerima Beasiswa yang menjadi bagian dari kontrak yang disepakati.,kebijakan LPDP,Netral
"Bagi penerima beasiswa yang melanggar, sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program LPDP di masa mendatang.",kebijakan LPDP,Negatif
"Bagi penerima beasiswa yang melanggar, sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program LPDP di masa mendatang.",kualitas pendidikan,Negatif
"Selain delapan orang yang telah dijatuhi sanksi pengembalian dana, LPDP juga memeriksa 36 orang yang diduga melakukan pelanggaran.",dana beasiswa,Negatif
"Selain delapan orang yang telah dijatuhi sanksi pengembalian dana, LPDP juga memeriksa 36 orang yang diduga melakukan pelanggaran.",kebijakan LPDP,Negatif
"Meski begitu, LPDP juga memberikan ruang fleksibilitas bagi alumni dengan kondisi tertentu, misalnya yang bekerja di posisi strategis lembaga riset global.",kualitas pendidikan,Netral
"Namun, fleksibilitas itu juga dibarengi dengan komitmen untuk tetap berkontribusi kepada Indonesia.",pengabdian alumni,Positif
"Namun, kalau tidak ada komitmen (untuk berkontribusi di Indonesia), langsung kami sanksi,” jelas dia.",pengabdian alumni,Netral
"Namun, kalau tidak ada komitmen (untuk berkontribusi di Indonesia), langsung kami sanksi,” jelas dia.",kebijakan LPDP,Netral
LPDP pun menyiapkan skema magang atau wirausaha bagi alumni dengan periode hingga dua tahun setelah lulus dengan persetujuan LPDP dan memenuhi syarat yang ditetapkan.,proses seleksi,Netral
"Kebetulan, suami DS, yakni AP sama-sama penerima LPDP belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima.",pengabdian alumni,Negatif
"Kebetulan, suami DS, yakni AP sama-sama penerima LPDP belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima.",kebijakan LPDP,Negatif
"Beasiswa LPDP memang mewajibkan awardee atau penerimanya kembali ke Indonesia setelah menyelesaikan studi dengan skema 2N+1, yakni masa pengabdian dua kali masa studi ditambah satu tahun.",pengabdian alumni,Netral
Muhdi menilai bahwa persoalan penerima LPDP yang tidak menjalankan kewajiban pengabdian semestinya sudah teratasi secara baik dengan adanya pengawasan pascastudi yang betul-betul cermat.,pengabdian alumni,Netral
"Artinya, kata Ketua PGRI Jateng itu, jangan kemudian permasalahan penerima LPDP yang tidak menjalankan kewajiban pengabdian ternyata baru terekspose sekarang setelah adanya kasus DS.",pengabdian alumni,Negatif
"Apakah mereka menjalankan kewajiban apa tidak? Kalau tidak, ya berikan sanksi.",kebijakan LPDP,Negatif
"Atau, diberi sanksi setelah ada orang yang seperti ini (DS, red.",kebijakan LPDP,Negatif
"Sementara itu, Direktur Utama LPDP Sudarto melaporkan sebanyak 44 penerima beasiswa (awardee) telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan.",pengabdian alumni,Negatif
"Sementara itu, Direktur Utama LPDP Sudarto melaporkan sebanyak 44 penerima beasiswa (awardee) telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan.",kebijakan LPDP,Negatif
"Dari jumlah tersebut, delapan orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima, sementara 36 lainnya masih dalam proses pemeriksaan.",kebijakan LPDP,Negatif
"Kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan, sanksi termasuk pengembalian 8 orang, 36 lagi sedang dalam proses, katanya.",kebijakan LPDP,Negatif
Ada pula yang telah menyelesaikan masa pengabdian atau mendapat penugasan resmi dari instansinya.,pengabdian alumni,Netral
"Dari jumlah tersebut, 8 orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima, sementara 36 lainnya masih dalam proses pemeriksaan.",kebijakan LPDP,Negatif
"Kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan, sanksi termasuk pengembalian 8 orang, 36 lagi sedang dalam proses, kata Sudarto dalam konferensi pers APBN KiTa di Jakarta, Senin.",kebijakan LPDP,Negatif
Ia menegaskan tidak seluruh laporan otomatis berujung pelanggaran.,dana beasiswa,Negatif
"Terkait sanksi, Sudarto menyebut awardee yang melanggar bisa dikenai pengembalian dana beasiswa beserta bunga, serta pemblokiran untuk mengikuti program LPDP di masa mendatang.",kebijakan LPDP,Negatif
Ketentuan tersebut sudah tercantum dalam perjanjian yang ditandatangani penerima beasiswa.,kebijakan LPDP,Netral
Itu uang dari pajak (rakyat) dan sebagian dari utang yang kita sisihkan untuk memastikan sumber SDM kita tumbuh.,dana beasiswa,Netral
"Pemerintah, lanjutnya, akan menegakkan aturan yang berlaku agar penerima beasiswa memenuhi seluruh tanggung jawabnya kepada LPDP.",kebijakan LPDP,Netral
"Selain pengembalian dana, Purbaya juga mempertimbangkan langkah tegas berupa pencantuman dalam daftar hitam (blacklist) di seluruh instansi pemerintah bagi pihak yang dinilai melanggar komitmen dan etika sebagai penerima beasiswa negara.",kebijakan LPDP,Negatif
Setiap rupiah yang diberikan adalah uang rakyat.,dana beasiswa,Netral
"Maka, penerimanya bukan hanya dituntut berprestasi, tetapi juga memiliki komitmen kebangsaan dan orientasi pengabdian yang jelas,” kata pria yang akrab disapa Amure itu di Jakarta, Senin.",pengabdian alumni,Netral
"Berikutnya, Amure juga mendesak agar pemerintah dan LPDP untuk melakukan evaluasi menyeluruh serta memperketat proses seleksi penerima beasiswa.",proses seleksi,Netral
"Menurut dia, kasus DS bukan sekadar isu personal atau unggahan media sosial, melainkan juga menyentuh aspek moral publik karena beasiswa LPDP dibiayai oleh dana rakyat melalui APBN dan dana abadi pendidikan.",dana beasiswa,Negatif
"Menurut dia, kasus DS bukan sekadar isu personal atau unggahan media sosial, melainkan juga menyentuh aspek moral publik karena beasiswa LPDP dibiayai oleh dana rakyat melalui APBN dan dana abadi pendidikan.",kualitas pendidikan,Negatif
"Amure menekankan bahwa seleksi LPDP tidak cukup hanya menilai IPK, skor bahasa, atau kualitas universitas tujuan.",proses seleksi,Netral
"Amure menekankan bahwa seleksi LPDP tidak cukup hanya menilai IPK, skor bahasa, atau kualitas universitas tujuan.",kualitas pendidikan,Netral
"Menurut dia, aspek rekam jejak, integritas, konsistensi sikap kebangsaan, serta rencana kontribusi konkret harus diuji lebih dalam dan terukur.",pengabdian alumni,Positif
Ia juga mendorong penguatan monitoring pascastudi agar komitmen pengabdian tidak berhenti di atas kertas.,pengabdian alumni,Netral
"Amure berharap momentum itu menjadi titik evaluasi serius bagi LPDP untuk memperkuat sistem seleksi, mempertegas kontrak pengabdian, serta memastikan bahwa setiap penerima benar-benar memiliki komitmen membangun Indonesia.",pengabdian alumni,Netral
"Amure berharap momentum itu menjadi titik evaluasi serius bagi LPDP untuk memperkuat sistem seleksi, mempertegas kontrak pengabdian, serta memastikan bahwa setiap penerima benar-benar memiliki komitmen membangun Indonesia.",proses seleksi,Netral
"Kritisi penerima LPDP, DPR minta perketat seleksi beasiswa LPDP Kami meminta agar pemerintah memperketat seleksi LPDP.",proses seleksi,Netral
Permintaan itu disampaikan Habib merespons kemunculan pernyataan seorang mantan penerima beasiswa LPDP berinisial DS yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian LPDP oleh suami DS.,pengabdian alumni,Negatif
Permintaan itu disampaikan Habib merespons kemunculan pernyataan seorang mantan penerima beasiswa LPDP berinisial DS yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian LPDP oleh suami DS.,dana beasiswa,Negatif
"Pernyataan yang disampaikan oleh alumni penerima LPDP yang viral itu menunjukkan bahwa masih ada yang belum sepenuhnya mematuhi aturan, kata Habib di Jakarta, Senin.",kebijakan LPDP,Netral
"Dia lalu memandang insiden itu menjadi alarm bagi pemerintah bahwa integritas dan komitmen kebangsaan calon penerima beasiswa LPDP harus diuji lebih dalam, bukan sekadar kecakapan akademik.",kualitas pendidikan,Netral
Ia mendukung langkah tegas LPDP yang berencana memanggil pihak terkait untuk klarifikasi dan pemberian sanksi jika terbukti melanggar ketentuan.,kebijakan LPDP,Netral
"Jika ada yang tidak menjalankan komitmennya, maka harus ada penegakan aturan yang tegas,” kata Habib.",kebijakan LPDP,Netral
Pramono mengaku betul-betul berkeinginan agar anak-anak Jakarta yang berprestasi di sekolah bisa mengenyam pendidikan hingga ke luar negeri melalui program LPDP yang dipersiapkan oleh pemerintah DKI Jakarta.,kualitas pendidikan,Netral
"Brian menjelaskan bahwa setiap tahunnya Indonesia mencetak sekitar 1,7 juta lulusan dari berbagai bidang strategis, mulai dari sains dan teknologi hingga ilmu sosial.",kualitas pendidikan,Netral
"Saat ini, terdapat lebih dari 1,1 juta mahasiswa aktif yang biaya hidup dan SPP-nya ditanggung sepenuhnya oleh negara dengan total anggaran mencapai Rp16 triliun per tahun.",dana beasiswa,Netral
"Dengan penguatan ini, diharapkan tidak ada lagi anak bangsa yang terkendala biaya untuk mengenyam pendidikan tinggi di perguruan tinggi negeri maupun swasta.",kualitas pendidikan,Netral
Seluruh penerima Beasiswa Fellowship Dokter Spesialis akan memperoleh pembiayaan pendidikan penuh (fully funded) dari LPDP.,kualitas pendidikan,Netral
"Untuk selengkapnya, berikut terkait persyaratan dan jadwalnya.",proses seleksi,Netral
Persyaratan Beasiswa Fellowship Dokter Spesialis 2026 Pendaftaran beasiswa ini dapat dilakukan melalui https://beasiswalpdp.,proses seleksi,Netral
"Adapun persyaratan bagi pendaftar Beasiswa Fellowship Dokter Spesialis 2026 yang wajib dipenuhi adalah sebagai berikut: Terbuka bagi WNI yang berprofesi sebagai Dokter Spesialis, baik berstatus PNS maupun Non-PNS.",proses seleksi,Netral
Wajib melampirkan surat penerimaan (LoA) dari Unit Penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku.,proses seleksi,Netral
Wajib melampirkan surat penerimaan (LoA) dari Unit Penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku.,kualitas pendidikan,Netral
"Tidak sedang menempuh (on going) pendidikan fellowship atau subspesialis di lembaga mana pun, baik di dalam maupun luar negeri.",kualitas pendidikan,Netral
"Menuliskan rencana pascastudi, komitmen untuk kembali ke tanah air, serta kontribusi yang akan diberikan bagi Indonesia.",pengabdian alumni,Positif
Tidak pernah dijatuhi sanksi disiplin berat (bagi PNS) atau memiliki catatan kegagalan/pembatalan beasiswa LPDP sebelumnya akibat kelalaian pribadi.,kebijakan LPDP,Negatif
"Bagi pendaftar yang dinyatakan lolos seleksi, perkiraan waktu mulai studi (intake) paling cepat adalah pada bulan Mei dan Juli, menyesuaikan dengan periode pendaftaran yang diikuti.",proses seleksi,Netral
Presiden Prabowo Subianto sendiri menargetkan LPDP dapat membiayai beasiswa 4.,dana beasiswa,Netral
"Pemerintah akan mulai memfokuskan pendanaan beasiswa pendidikan dari LPDP untuk keilmuan bidang Science, Technology, Engineering, and Mathematics (STEM) mulai tahun 2026 mendatang.",kualitas pendidikan,Netral
LPDP resmi berdiri melalui Peraturan Menteri Keuangan (PMK) Nomor 252/PMK.,kebijakan LPDP,Netral
"Adapun pada 2021, LPDP juga diberi mandat mengelola dana abadi riset, kebudayaan, dan pendidikan tinggi, bersama dengan kementerian/badan terkait lainnya.",dana beasiswa,Netral
"Adapun pada 2021, LPDP juga diberi mandat mengelola dana abadi riset, kebudayaan, dan pendidikan tinggi, bersama dengan kementerian/badan terkait lainnya.",kualitas pendidikan,Netral
"Adapun komponen beasiswa yang ditanggung LPDP mencakup biaya pendidikan, yaitu biaya pendaftaran, biaya SPP (tuition fee), tunjangan buku, biaya penelitian, biaya seminar internasional, biaya publikasi jurnal internasional.",kualitas pendidikan,Netral
"Tahapan pendaftaran beasiswa LPDP umumnya mencakup seleksi administrasi, seleksi bakat skolastik, dan seleksi substansi.",proses seleksi,Netral
Beasiswa Perguruan Tinggi Utama Dunia (PTUD) Beasiswa PTUD adalah program beasiswa yang diperuntukkan bagi WNI yang telah memperoleh LoA dari perguruan tinggi utama dunia untuk menempuh jenjang pendidikan magister dan doktor.,kualitas pendidikan,Netral
"Pendaftar beasiswa ini harus memilih salah satu skema pendanaan untuk ditanggungnya, dana pendidikan atau dana pendukung, sementara salah satu skema lainnya ditanggung oleh LPDP.",kualitas pendidikan,Positif
"Oleh karena itu, apabila pendaftar tidak lolos pada seleksi pilihan Beasiswa Prioritas Kemitraan LPDP tersebut dapat melanjutkan tahap proses ke program beasiswa lainnya yang telah didaftarkan.",proses seleksi,Netral
"Meski demikian, pendaftar yang sedang menempuh studi dapat mendaftar dengan ketentuan tertentu.",kebijakan LPDP,Netral
Memenuhi persyaratan Indeks Prestasi Kumulatif (IPK) yang ditetapkan.,proses seleksi,Netral
"Memenuhi skor kemampuan Bahasa Inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan, seperti tes TOEFL atau IELTS, yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa.",proses seleksi,Netral
"Memenuhi skor kemampuan Bahasa Inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan, seperti tes TOEFL atau IELTS, yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa.",kebijakan LPDP,Netral
Melampirkan surat rekomendasi sesuai ketentuan setiap program beasiswa yang diterbitkan paling lama satu tahun di bulan yang sama dengan waktu pendaftaran beasiswa.,kebijakan LPDP,Netral
Memilih perguruan tinggi tujuan dan program studi sesuai dengan ketentuan LPDP.,kebijakan LPDP,Netral
"Menyetujui surat pernyataan yang diwajibkan dalam aplikasi, dan menuliskan komitmen untuk kembali ke Indonesia, rencana pascastudi, dan rencana kontribusi di Indonesia.",pengabdian alumni,Positif
