doc_id,anchor,locator,aspect_term,category,gold_polarity,title,source_sentence,predicted_polarity,score,context,evidence,correct
0,seleksi penerima program beasiswa,seleksi penerima,seleksi penerima,Seleksi dan pendaftaran,negative,"Cegah kolusi-nepotisme, program LPDP dinilai perlu perketat seleksi - ANTARA News","Cegah kolusi-nepotisme, program LPDP dinilai perlu perketat seleksi Jakarta (ANTARA) - Sekretaris Komisi E DPRD DKI Jakarta Justin Adrian Untayana menilai seleksi penerima program beasiswa Lembaga Pengelola Dana Pendidikan (LPDP) versi Jakarta perlu diperketat untuk mencegah praktik kolusi dan nepotisme di dalamnya. ""Jangan sampai ada 'permainan' tidak adil yang menjurus kepada kolusi dan nepotisme, dan tidak memberikan perlakuan istimewa kepada siapapun itu,"" kata Justin di Jakarta, Selasa.",negative,-3.0,jakarta antara sekretaris komisi e dprd dki jakarta justin adrian untayana menilai seleksi penerima program beasiswa lembaga pengelola dana pendidikan lpdp versi jakarta perlu diperketat untuk,domain:perlu diperketat(-4.0); inset:komisi(+3.0); inset:menilai(-4.0); inset:penerima(+2.0); inset:lembaga(-3.0); inset:dana(+4.0),True
1,anggarannya tersedia dan tidak akan mengganggu,anggarannya,anggaran program LPDP Jakarta,Pendanaan dan anggaran,negative,LPDP Jakarta diminta tak ganggu anggaran bansos pendidikan - ANTARA News,"Pemprov DKI harus memastikan bahwa anggarannya tersedia dan tidak akan mengganggu penyaluran bansos lainnya,"" kata Justin di Jakarta, Senin.",negative,-8.0,pemprov dki harus memastikan bahwa anggarannya tersedia dan tidak akan mengganggu penyaluran bansos lainnya kata justin di jakarta,domain:tidak akan mengganggu(-4.0); domain:mengganggu(-3.0); inset:harus(-5.0); inset:tersedia(+4.0); inset:tidak(-9.0); negated:mengganggu(-0.0); inset:kata(-5.0),True
5,dikenai sanksi akibat terbukti tidak menjalankan kewajiban,kewajiban mengabdi,kewajiban mengabdi alumni,Pengabdian dan kontribusi alumni,negative,4 alumni LPDP kena sanksi kembalikan dana hingga Rp2 miliar per orang - ANTARA News,4 alumni LPDP kena sanksi kembalikan dana hingga Rp2 miliar per orang Jakarta (ANTARA) - Direktur Utama Lembaga Pengelola Dana Pendidikan (LPDP) Sudarto mengungkapkan empat alumni yang dikenai sanksi akibat terbukti tidak menjalankan kewajiban mengabdi di Indonesia telah mengembalikan dana sebesar Rp1 miliar hingga Rp2 miliar.,negative,-10.0,lpdp sudarto mengungkapkan empat alumni yang dikenai sanksi akibat terbukti tidak menjalankan kewajiban mengabdi di indonesia telah mengembalikan dana sebesar rp 1 miliar hingga rp 2,domain:dikenai sanksi(-4.0); domain:tidak menjalankan kewajiban(-5.0); inset:mengungkapkan(-4.0); inset:yang(-5.0); inset:akibat(-2.0); inset:terbukti(+3.0); inset:tidak(-9.0),True
6,memperketat pengawasan pascastudi,pengawasan pascastudi,pengawasan pascastudi,Pengawasan dan sanksi,negative,DPD minta perketat pengawasan pascastudi penerima LPDP luar negeri - ANTARA News,DPD minta perketat pengawasan pascastudi penerima LPDP luar negeri Semarang (ANTARA) - Dewan Perwakilan Daerah (DPD) RI meminta pemerintah untuk memperketat pengawasan pascastudi terhadap mahasiswa penerima beasiswa Lembaga Pengelola Dana Pendidikan (LPDP) yang berkuliah di luar negeri.,negative,-4.25,dpd minta perketat pengawasan pascastudi penerima lpdp luar negeri semarang antara dewan perwakilan daerah dpd ri meminta,domain:perketat pengawasan(-4.0); inset:minta(-1.0); inset:penerima(+2.0); inset:dewan(-3.0); inset:meminta(+1.0),True
600,pengawasan lpdp masih perlu diperkuat,pengawasan lpdp,pengawasan LPDP,Pengawasan dan sanksi,negative,Dosen UGM Desak LPDP Lebih 'Galak' ke Penerima Beasiswa - Medcom.id,"Subarsono menilai kasus yang mencuat ini menjadi peringatan pengawasan LPDP masih perlu diperkuat, terutama penerimanya yang telah menyelesaikan studi.",negative,-5.0,subarsono menilai kasus yang mencuat ini menjadi peringatan pengawasan lpdp masih perlu diperkuat terutama penerimanya yang telah menyelesaikan studi,domain:masih perlu diperkuat(-4.0); inset:menilai(-4.0); inset:yang(-5.0); inset:perlu(+2.0); inset:terutama(+4.0); inset:yang(-5.0),True
13,pendaftaran beasiswa fellowship dokter spesialis resmi dibuka,pendaftaran beasiswa,pendaftaran beasiswa,Seleksi dan pendaftaran,neutral,"Beasiswa LPDP Dokter Spesialis 2026 dibuka, ini jadwal dan syaratnya - ANTARA News","Pendaftaran Beasiswa Fellowship Dokter Spesialis resmi dibuka pada 1–12 Januari 2026, sebagaimana diinformasikan melalui laman LPDP.",neutral,0.0,pendaftaran beasiswa fellowship dokter spesialis resmi dibuka pada 1 12 januari 2026 sebagaimana diinformasikan,factual-rule:resmi dibuka pada,True
14,tahapan pendaftaran beasiswa lpdp umumnya mencakup,tahapan pendaftaran,tahapan pendaftaran,Seleksi dan pendaftaran,neutral,"Presiden targetkan 4.000 mahasiswa LPDP, apa saja jenis dan syaratnya? - ANTARA News","Tahapan pendaftaran beasiswa LPDP umumnya mencakup seleksi administrasi, seleksi bakat skolastik, dan seleksi substansi.",neutral,0.0,tahapan pendaftaran beasiswa lpdp umumnya mencakup seleksi administrasi seleksi bakat skolastik dan seleksi substansi,factual-rule:tahapan pendaftaran,True
17,terdapat beberapa jenis program beasiswa,jenis program beasiswa,jenis program beasiswa,Akses dan manfaat beasiswa,neutral,"Jadwal pendaftaran Beasiswa LPDP Tahap 2 2024, catat tanggalnya - ANTARA News","Terdapat beberapa jenis program beasiswa yang dibuka pada tahap 2, seperti Program Umum, Program Afirmasi, Program Targeted, Program Prioritas, Program Kerja Sama, dan Program Double Degree/Joint Degree.",neutral,0.0,terdapat beberapa jenis program beasiswa yang dibuka pada tahap 2 seperti program umum program afirmasi program targeted,factual-rule:terdapat beberapa jenis program beasiswa,True
94,mencatat total dana abadi,dana abadi,dana abadi,Pendanaan dan anggaran,neutral,"Dana Abadi LPDP Capai Rp180,8 Triliun - Bloomberg Technoz","Bloomberg Technoz, Jakarta - Lembaga Pengelola Dana Pendidikan (LPDP) mencatat total dana abadi yang dikelola hingga saat ini mencapai Rp180,8 triliun.",neutral,0.0,bloomberg technoz jakarta lembaga pengelola dana pendidikan lpdp mencatat total dana abadi yang dikelola hingga saat ini mencapai rp 180 8 triliun,factual-rule:mencatat total dana abadi,True
219,tidak menghilangkan kewajiban pengabdian 2 n,kewajiban pengabdian,kewajiban pengabdian 2N,Pengabdian dan kontribusi alumni,neutral,Penerima Beasiswa LPDP Dapat Tambahan Waktu di Luar Negeri - Halo Indonesia,"Sudarto memastikan bahwa para lulusan tetap akan kembali ke Indonesia pada akhirnya, meskipun ada penambahan waktu di luar negeri. ""Dan ini sama sekali tidak menghilangkan kewajiban pengabdian 2 N yang telah ditetapkan,"" tegasnya.",neutral,0.0,ada penambahan waktu di luar negeri dan ini sama sekali tidak menghilangkan kewajiban pengabdian 2 n yang telah ditetapkan tegasnya,factual-rule:tidak menghilangkan kewajiban pengabdian,True
4,memberikan kesempatan yang sama,kesempatan yang sama,akses pendidikan tinggi,Akses dan manfaat beasiswa,positive,"Dirut: Beasiswa LPDP bersifat inklusif, fokus cari talenta unggul - ANTARA News",Sudarto mengatakan LPDP berusaha memberikan kesempatan yang sama kepada talenta Indonesia untuk bisa mengakses pendidikan tinggi.,positive,5.0,sudarto mengatakan lpdp berusaha memberikan kesempatan yang sama kepada talenta indonesia untuk bisa mengakses pendidikan tinggi,domain:kesempatan yang sama(+4.0); inset:mengatakan(+3.0); inset:berusaha(+0.0); inset:yang(-5.0); inset:sama(+3.0); inset:talenta(+4.0),True
12,mengalokasikan 5 750 kuota beasiswa,kuota beasiswa,kuota beasiswa,Akses dan manfaat beasiswa,positive,Mendikti Saintek: Pemerintah siapkan 5.750 beasiswa LPDP 2026 - ANTARA News,Mendikti Saintek: Pemerintah siapkan 5.750 beasiswa LPDP 2026 Jakarta (ANTARA) - Pemerintah Indonesia mengalokasikan 5.750 kuota beasiswa Lembaga Pengelola Dana Pendidikan (LPDP) pada 2026 untuk menggenjot kualitas sumber daya manusia melalui perluasan akses pendidikan.,positive,3.25,5 750 beasiswa lpdp 2026 jakarta antara pemerintah indonesia mengalokasikan 5 750 kuota beasiswa lembaga pengelola dana pendidikan lpdp pada 2026 untuk menggenjot kualitas sumber daya,domain:menggenjot kualitas(+3.0); inset:kuota(-2.0); inset:lembaga(-3.0); inset:dana(+4.0); inset:pada(-3.0); inset:untuk(+1.0),True
15,modal yang baik bagi anak anak jakarta,program ini,program LPDP untuk mahasiswa Jakarta,Akses dan manfaat beasiswa,positive,Pram harap mahasiswa bisa kuliah di luar negeri dengan LPDP pada 2026 - ANTARA News,"Baca juga: Pram ingin mahasiswa DKI bisa kuliah di luar negeri dengan LPDP Pramono meyakini, program ini bisa menjadi modal yang baik bagi anak-anak Jakarta khususnya bagi yang kurang beruntung untuk memiliki kesempatan berkuliah di luar negeri.",positive,3.0,ingin mahasiswa dki bisa kuliah di luar negeri dengan lpdp pramono meyakini program ini bisa menjadi modal yang baik bagi anak anak jakarta khususnya bagi yang,domain:modal yang baik(+4.0); inset:kuliah(-1.0); inset:modal(-1.0); inset:yang(-5.0); inset:baik(+2.0); inset:bagi(-2.0),True
